shot_id,match_id,competition,season,team,player,period,game_time,location_x,location_y,distance_to_goal_m,shot_angle_deg,y_from_center,body_part,free_kick_type,player_fk_attempts,xg,is_goal
207dfd3af8c56aa6da050919778b5a57,3888704,FIFA World Cup,1958-1958,Brazil,Didi,2,84 min 42 sec,96.7,34.0,24.06,18.32,6.0,Right Foot,direct,4,0.0798,0
f1338745bad973ad18a74d183e47ba48,3888704,FIFA World Cup,1958-1958,France,Just Louis Fontaine,2,54 min 36 sec,96.8,25.4,27.41,14.16,14.6,Right Foot,direct,1,0.0455,0
3e61a36814800141094790bfae9df119,3888704,FIFA World Cup,1958-1958,Brazil,Didi,2,71 min 6 sec,98.1,50.3,24.2,17.09,10.3,Right Foot,direct,4,0.0678,0
4472e952197a8df14c74d49069400034,3888704,FIFA World Cup,1958-1958,France,Raymond Kopaszewski Wlodarczyck,1,28 min 38 sec,96.8,27.3,26.45,15.19,12.7,Right Foot,direct,1,0.0515,0
b9bfc3880fa614be087b682d741cf0d0,3888705,FIFA World Cup,1958-1958,Brazil,Didi,1,18 min 43 sec,88.5,38.1,31.56,14.42,1.9,Right Foot,direct,4,0.0316,0
0c029f1987be0bbc8f0ba4b40c1e97ea,3888705,FIFA World Cup,1958-1958,Brazil,Didi,2,80 min 48 sec,99.4,37.4,20.76,21.65,2.6,Right Foot,direct,4,0.0865,0
1e0662044b717d03021c38b3a6e58225,3888854,FIFA World Cup,1962-1962,Brazil,Pelé,1,9 min 57 sec,101.4,41.8,18.69,24.06,1.8,Right Foot,direct,13,0.1272,0
f6a1a08cdfa6e71be7e2b389c4473b17,3888854,FIFA World Cup,1962-1962,Brazil,Pelé,1,23 min 33 sec,96.7,54.3,27.34,14.3,14.3,Right Foot,direct,13,0.0435,0
3ba7e9306314c7014d3bf23805888255,3888854,FIFA World Cup,1962-1962,Brazil,Pelé,2,66 min 26 sec,84.3,45.7,36.15,12.47,5.7,Right Foot,direct,13,0.0103,0
24c25db74906a80530a4675846c7db6a,3888854,FIFA World Cup,1962-1962,Brazil,Vava,1,10 min 45 sec,94.8,54.0,28.83,13.89,14.0,Right Foot,direct,1,0.0388,0
1a6832134065e8358f2bbf10fff57964,3888699,FIFA World Cup,1970-1970,Czechoslovakia,Karol Dobiaš,1,2 min 19 sec,84.0,38.8,36.02,12.67,1.2,Left Foot,direct,1,0.0125,0
a26536bbbd3ae7c102c6558b046984c1,3888699,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,2,84 min 58 sec,92.6,45.8,28.01,15.92,5.8,Left Foot,direct,14,0.048,0
bd690438875de574d7b5603d3eee59b9,3888699,FIFA World Cup,1970-1970,Czechoslovakia,Vaclav Migas,2,78 min 49 sec,95.2,30.1,26.7,15.89,9.9,Right Foot,direct,1,0.0515,0
bf836be2dbffb43fc8c0b6fb63355f41,3888699,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,23 min 41 sec,100.6,43.8,19.77,22.49,3.8,Left Foot,direct,14,0.0929,1
559e0fa42d92eeb1464d970c5be9714f,3888700,FIFA World Cup,1970-1970,England,Martin Peters,1,34 min 55 sec,92.9,33.1,27.96,15.8,6.9,Right Foot,direct,1,0.0497,0
5835daa3e4fc10ef2e89e3c6ba63bd6b,3888700,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,40 min 27 sec,101.7,64.3,30.42,9.15,24.3,Left Foot,direct,14,0.0081,0
1c2cd00104297adb7977addc49cdaed7,3888701,FIFA World Cup,1970-1970,Brazil,Pelé,2,58 min 1 sec,100.9,24.6,24.54,14.62,15.4,Right Foot,direct,13,0.0477,0
17b24b34a4f98ad6da0b6752527627be,3888701,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,34 min 56 sec,108.5,62.9,25.63,8.17,22.9,Left Foot,direct,14,0.0079,0
2ac23cb3f64413bb110cade6efebdd8e,3888701,FIFA World Cup,1970-1970,Uruguay,Juan Martin Mujica,2,67 min 38 sec,90.0,40.7,30.01,15.18,0.7,Left Foot,direct,2,0.0358,0
725e0676bdbd7c8b9d7762c4c4bb1923,3888701,FIFA World Cup,1970-1970,Uruguay,Juan Martin Mujica,1,33 min 36 sec,89.5,19.6,36.69,10.39,20.4,Left Foot,direct,2,0.0076,0
25607268356d2637d2bf89e8dcbba757,3888701,FIFA World Cup,1970-1970,Uruguay,Julio César Cortés Lagos,1,46 min 35 sec,82.8,28.4,38.97,11.2,11.6,Right Foot,direct,1,0.0065,0
85d3f5e8c0128d11c79779617cc7df5f,3888701,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,2,76 min 56 sec,92.2,64.3,36.92,9.37,24.3,Left Foot,direct,14,0.0078,0
812604b73d61af85e9ebc1bfe114bf92,3888701,FIFA World Cup,1970-1970,Brazil,Pelé,1,42 min 23 sec,85.1,28.0,36.91,11.72,12.0,Right Foot,direct,13,0.0066,0
2c2516c89e365c6cee51476a2b7dc58d,3888701,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,29 min 26 sec,91.4,55.5,32.53,12.38,15.5,Left Foot,direct,14,0.0098,0
f1f1457f2315e501ffef5b2ff7ac4ed0,3888702,FIFA World Cup,1970-1970,Brazil,Pelé,2,57 min 30 sec,91.6,31.3,29.7,14.7,8.7,Right Foot,direct,13,0.0339,0
45b97d369de80209d2875b560c8c6a15,3888702,FIFA World Cup,1970-1970,Italy,Angelo Domenghini,2,66 min 48 sec,106.3,78.0,40.39,3.88,38.0,Right Foot,direct,1,0.0077,0
6febaa63cf3dfe81605068e799c3d23f,3888702,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,27 min 39 sec,81.3,42.6,38.79,11.75,2.6,Left Foot,direct,14,0.0072,0
ba9599bfe63df8eb3f41c0fc2b9fcdbf,3888702,FIFA World Cup,1970-1970,Brazil,Gérson,2,51 min 8 sec,87.0,46.4,33.61,13.33,6.4,Left Foot,direct,1,0.0232,0
4f956bfa5a14ead2d66f6e998a41fc4d,3888702,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,3 min 38 sec,94.9,60.4,32.34,11.03,20.4,Left Foot,direct,14,0.0086,0
bafd02a1c469c7195159133e5a43ef44,3888702,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,5 min 42 sec,94.4,40.8,25.61,17.74,0.8,Left Foot,direct,14,0.0685,0
ac302a45c2bc751231238a3b091f3e1e,3888702,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,2,62 min 27 sec,99.8,45.9,21.04,20.74,5.9,Left Foot,direct,14,0.081,0
807d2a755a105435b29ebd19d5a20b09,3889217,FIFA World Cup,1970-1970,Brazil,Caju,2,59 min 48 sec,88.0,63.2,39.53,9.4,23.2,Right Foot,direct,3,0.0063,0
ee976725096dfa783b92e800ba8c9d07,3889217,FIFA World Cup,1970-1970,Brazil,Pelé,1,7 min 4 sec,98.0,47.0,23.09,18.8,7.0,Right Foot,direct,13,0.0703,0
f111bd352fbe8ce860df7dab72a844b1,3889217,FIFA World Cup,1970-1970,Brazil,Pelé,2,76 min 22 sec,97.3,36.4,22.98,19.52,3.6,Right Foot,direct,13,0.0826,0
6a59b9e1b53823b2260d36c70f6d2a94,3889217,FIFA World Cup,1970-1970,Brazil,Pelé,1,18 min 54 sec,99.4,48.6,22.32,18.86,8.6,Right Foot,direct,13,0.0714,1
4ede2a65847779f813d7fa523de81beb,3889217,FIFA World Cup,1970-1970,Brazil,Caju,1,44 min 40 sec,83.0,26.6,39.35,10.93,13.4,Right Foot,direct,3,0.0065,0
526dd5f8c375272b602fb3a0284ded7b,3889218,FIFA World Cup,1970-1970,Peru,Alberto Gallardo,2,68 min 27 sec,94.7,29.7,27.32,15.49,10.3,Right Foot,direct,2,0.0447,0
3b01d6aa00cf4717a2ca935c743eacf8,3889218,FIFA World Cup,1970-1970,Brazil,Caju,2,73 min 3 sec,99.5,27.9,23.8,16.58,12.1,Right Foot,direct,3,0.0633,0
a8f9cdff4d51be243b684383c50894bf,3889218,FIFA World Cup,1970-1970,Peru,Alberto Gallardo,2,54 min 55 sec,94.9,21.9,30.95,12.04,18.1,Right Foot,direct,2,0.0089,0
addffd26acdbec5cf8e465b61e779627,3889218,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,1,6 min 35 sec,100.5,42.9,19.71,22.71,2.9,Left Foot,direct,14,0.1032,0
f1e462a5bcdd1cc9e25f0c88e1cb3188,3889218,FIFA World Cup,1970-1970,Brazil,Pelé,1,12 min 42 sec,101.5,35.1,19.14,22.91,4.9,Right Foot,direct,13,0.1044,0
f1cb29f1d687e3d22da35caac7e78e63,3889218,FIFA World Cup,1970-1970,Brazil,Roberto Rivelino,2,47 min 37 sec,99.3,52.3,24.08,16.37,12.3,Left Foot,direct,14,0.0654,0
a6e6d455a2cfc516f541dd0c816471ab,3888711,Champions League,1970-1971,Ajax,Piet Keizer,1,23 min 39 sec,90.3,33.0,30.51,14.56,7.0,Left Foot,direct,1,0.0375,0
965cf998b058bf5e0295889d62891815,3750235,Champions League,1971-1972,Inter Milan,Sandro Mazzola,1,12 min 48 sec,87.1,50.6,34.57,12.59,10.6,Right Foot,direct,1,0.012,0
c6d299696a66a9fb5e26d563ad51d0d0,3750235,Champions League,1971-1972,Ajax,Arie Haan,2,78 min 57 sec,91.5,34.5,29.03,15.42,5.5,Right Foot,direct,2,0.0365,0
fcd861bf216f54a76ace8db90e8601d9,3750235,Champions League,1971-1972,Ajax,Gerrie Mühren,1,25 min 8 sec,90.7,26.8,32.14,12.98,13.2,Left Foot,direct,2,0.0238,0
c1d9ad568ad143a9b952d75e20729076,3750235,Champions League,1971-1972,Inter Milan,Gianfranco Bedin,2,88 min 49 sec,96.8,38.5,23.25,19.49,1.5,Left Foot,direct,1,0.1139,0
a10e519310dbd4856bf739f8b1756829,3750235,Champions League,1971-1972,Ajax,Arie Haan,2,59 min 6 sec,94.1,31.5,27.26,15.91,8.5,Right Foot,direct,2,0.0485,0
3de39955c3b5aea7486a663b1468ab63,3888706,Champions League,1972-1973,Ajax,Gerrie Mühren,2,72 min 43 sec,86.7,46.8,33.99,13.16,6.8,Left Foot,direct,2,0.021,0
52a88912f103eefc434344082614eaf1,3750180,FIFA World Cup,1974-1974,German DR,Reinhard Lauck,1,34 min 51 sec,101.9,17.0,29.27,9.77,23.0,Right Foot,direct,1,0.007,0
f8d81481a6f4450e7f3a6fe03ded5a4e,3750180,FIFA World Cup,1974-1974,German DR,Jürgen Sparwasser,1,27 min 19 sec,110.7,13.1,28.46,5.35,26.9,Right Foot,direct,2,0.0064,0
17029614f1b31943712294cc9633836c,3888716,FIFA World Cup,1974-1974,Netherlands,Willem van Hanegem,2,54 min 18 sec,96.3,40.7,23.71,19.14,0.7,Left Foot,direct,4,0.0884,0
4f2fe64efb5eef3295ea84561856101e,3888716,FIFA World Cup,1974-1974,Netherlands,Johan Cruyff,2,75 min 54 sec,95.9,39.4,24.11,18.84,0.6,Right Foot,direct,1,0.066,0
e136eba76c4b0649861c34d7dc27d9f2,3888716,FIFA World Cup,1974-1974,Netherlands,Willem van Hanegem,1,35 min 39 sec,93.7,34.6,26.85,16.62,5.4,Left Foot,direct,4,0.0549,0
c4a348da757403e3ff41d6d679e9dc29,3888717,FIFA World Cup,1974-1974,Netherlands,Ruud Krol,2,90 min 34 sec,86.9,38.5,33.13,13.75,1.5,Right Foot,direct,1,0.0266,0
7d63ef7d6518372fe1e4c12b4858e68a,3888717,FIFA World Cup,1974-1974,Argentina,Roberto Perfumo,1,19 min 5 sec,93.5,46.5,27.29,16.23,6.5,Right Foot,direct,1,0.0551,0
fc11dcd4112d5219c94ab74ec655e180,3888718,FIFA World Cup,1974-1974,German DR,Bernd Bransch,2,84 min 25 sec,85.9,53.0,36.49,11.71,13.0,Left Foot,direct,1,0.0082,0
6282bfd62d11e36011ecb8a85ed30691,3888718,FIFA World Cup,1974-1974,German DR,Jürgen Sparwasser,1,40 min 38 sec,89.8,45.7,30.73,14.58,5.7,Right Foot,direct,2,0.031,0
28afdbc738043f588c86237b807b5bdc,3888718,FIFA World Cup,1974-1974,Netherlands,Willem van Hanegem,2,81 min 49 sec,99.2,53.4,24.74,15.59,13.4,Left Foot,direct,4,0.0594,0
a8e982d4847e153d071996bd0aa5b288,3888719,FIFA World Cup,1974-1974,Brazil,Valdomiro Vaz Franco,2,81 min 21 sec,93.0,34.3,27.6,16.16,5.7,Right Foot,direct,1,0.0563,0
7ddc59c88011e1eb8c56c28ac1f41674,3888719,FIFA World Cup,1974-1974,Brazil,Roberto Rivelino,2,48 min 17 sec,89.7,48.5,31.47,13.97,8.5,Left Foot,direct,14,0.0269,0
17bef1106d7dca993d17b0472d04bdb4,3888719,FIFA World Cup,1974-1974,Brazil,Roberto Rivelino,1,34 min 5 sec,83.4,44.2,36.84,12.32,4.2,Left Foot,direct,14,0.0069,0
62bae96d21295a8e24dd154baf1ec7b9,3888719,FIFA World Cup,1974-1974,Netherlands,Willem van Hanegem,2,75 min 43 sec,88.6,38.6,31.43,14.49,1.4,Left Foot,direct,4,0.0305,0
ecd8750e9b04cfeebee25719a5b2e16c,3888720,FIFA World Cup,1974-1974,Germany,Franz Beckenbauer,1,35 min 18 sec,99.4,53.0,24.36,15.93,13.0,Right Foot,direct,1,0.0604,0
f36f8c495707953a0be3b39bc5a26a61,3888720,FIFA World Cup,1974-1974,Germany,Rainer Bonhof,1,19 min 55 sec,86.5,43.9,33.73,13.44,3.9,Right Foot,direct,1,0.0226,0
0c60037cd175467583df281c5d1737ae,3750234,North American League,1977-1977,NY Cosmos,Pelé,1,27 min 56 sec,93.9,41.3,26.13,17.38,1.3,Right Foot,direct,13,0.0633,0
fe391889c2599e6ab5932df36588a608,3750234,North American League,1977-1977,NY Cosmos,Pelé,1,10 min 46 sec,97.4,51.0,25.13,16.36,11.0,Right Foot,direct,13,0.0616,0
d1cb8193fc11fc040a1cdf613cc68ff7,3888754,Copa del Rey,1977-1978,Las Palmas,Miguel Ángel Brindisi,2,64 min 47 sec,91.1,40.9,28.91,15.75,0.9,Right Foot,direct,3,0.0482,0
c8a206003bcbc12ef47ddefb836757a2,3888754,Copa del Rey,1977-1978,Barcelona,Carles Rexach,1,26 min 29 sec,92.4,33.2,28.43,15.58,6.8,Right Foot,direct,1,0.0499,1
a6d34a528a5ce52de154ee7d3e6a450d,3888754,Copa del Rey,1977-1978,Las Palmas,Miguel Ángel Brindisi,2,85 min 31 sec,110.3,17.2,24.78,7.39,22.8,Right Foot,direct,3,0.008,0
ace017cf83b8de59e85f7a6f910330be,3888787,FIFA U20 World Cup,1979-1979,Argentina U20,Diego Armando Maradona,2,80 min 51 sec,101.4,48.5,20.45,20.3,8.5,Left Foot,direct,14,0.0922,1
c6c7c40569c81db7d4d641b6248b3ed5,3888787,FIFA U20 World Cup,1979-1979,Argentina U20,Juan Barbas,1,37 min 49 sec,75.7,54.1,46.49,9.38,14.1,Right Foot,direct,1,0.0051,0
383cd5c45c1f8e8f173789c5fdf280c1,3889082,Liga Profesional,1981-1981,River Plate,Daniel Passarella,1,21 min 37 sec,76.4,42.9,43.7,10.44,2.9,Left Foot,direct,3,0.0067,0
45dca02a927687b7df5a04043cbc20da,3889082,Liga Profesional,1981-1981,Boca Juniors,Diego Armando Maradona,1,27 min 4 sec,85.9,42.6,34.2,13.31,2.6,Left Foot,direct,14,0.0217,0
07c7fb9ccb0fb6c538233ded2945203a,3889082,Liga Profesional,1981-1981,Boca Juniors,Diego Armando Maradona,2,90 min 57 sec,88.7,44.3,31.59,14.3,4.3,Left Foot,direct,14,0.0252,0
4ed693acd396556e7a713cebdc1796e5,3889082,Liga Profesional,1981-1981,River Plate,Daniel Passarella,1,4 min 55 sec,74.1,25.6,48.11,9.08,14.4,Left Foot,direct,3,0.0058,0
ae4794d064ccf1227eed834c1f4a3327,3889082,Liga Profesional,1981-1981,River Plate,Juan José López,2,62 min 7 sec,98.3,25.3,26.21,14.51,14.7,Right Foot,direct,1,0.043,0
eac2f46648d4f3ac900c05864d7d040f,3889082,Liga Profesional,1981-1981,Boca Juniors,Miguel Ángel Brindisi,1,13 min 57 sec,114.7,13.4,27.12,3.37,26.6,Right Foot,direct,3,0.0071,0
6b37894a4491ed7d14e479a27a3360ee,3889082,Liga Profesional,1981-1981,River Plate,Mario Kempes,1,30 min 35 sec,81.3,45.3,39.06,11.59,5.3,Left Foot,direct,1,0.0066,0
c223ceb73fcee4c1bf20ebf6cdffadc7,3889082,Liga Profesional,1981-1981,River Plate,Daniel Passarella,2,48 min 1 sec,101.0,51.7,22.31,17.51,11.7,Left Foot,direct,3,0.0726,0
8d567a057a524955644759fd387d3099,3888721,Copa del Rey,1982-1983,Real Madrid,John Metgod,2,82 min 16 sec,93.6,47.4,27.42,16.02,7.4,Right Foot,direct,2,0.052,0
6fac8877dff32f7efe091d64fa4c5d12,3888721,Copa del Rey,1982-1983,Real Madrid,John Metgod,1,22 min 5 sec,91.9,51.2,30.25,14.04,11.2,Right Foot,direct,2,0.0361,0
becdf880e90e4aadc010c2391af15de8,3888721,Copa del Rey,1982-1983,Real Madrid,José Antonio Salguero,2,88 min 37 sec,93.8,42.2,26.29,17.24,2.2,Right Foot,direct,1,0.0562,0
ddca4d35976a2ee4b16b341146375baf,3888721,Copa del Rey,1982-1983,Barcelona,Bernd Schuster,1,27 min 52 sec,87.1,41.9,32.95,13.82,1.9,Right Foot,direct,1,0.0237,0
98b332e9290f2043c332ac256b6f6d85,3888721,Copa del Rey,1982-1983,Real Madrid,Juanito,1,36 min 45 sec,98.3,61.9,30.83,10.52,21.9,Right Foot,direct,1,0.0116,0
374cbd10723f82939636ba0844b2d954,3750191,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,1,9 min 17 sec,93.9,55.3,30.25,13.07,15.3,Left Foot,direct,14,0.0352,0
1a630ef69f7ca6b134c9e1456392a28e,3750191,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,1,32 min 19 sec,97.9,47.7,23.4,18.39,7.7,Left Foot,direct,14,0.0778,0
fa1b574edde05005e8b724b1a4e9ba17,3750191,FIFA World Cup,1986-1986,Argentina,Jorge Burruchaga,2,66 min 16 sec,97.5,15.7,33.12,9.46,24.3,Right Foot,direct,3,0.0072,0
ccf1ad10a0ee59ea48e2e0e8fb9d7090,3750191,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,1,34 min 4 sec,98.5,61.2,30.19,10.87,21.2,Left Foot,direct,14,0.0125,0
86d4530af45d29c531c2ea78c62e171f,3750191,FIFA World Cup,1986-1986,England,Glenn Hoddle,2,68 min 16 sec,94.4,52.0,28.27,14.65,12.0,Right Foot,direct,1,0.0445,0
d500e084a80e443c07cbd40da3722a5b,3750191,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,2,85 min 58 sec,97.3,52.8,26.06,15.32,12.8,Left Foot,direct,14,0.0455,0
f1785295108071af9a675e361b6bc446,3889148,FIFA World Cup,1986-1986,Belgium,Enzo Scifo,2,77 min 34 sec,93.1,26.2,30.23,13.48,13.8,Right Foot,direct,1,0.0331,0
29110242b6b6e33a459dc1d2adf793b7,3889148,FIFA World Cup,1986-1986,Argentina,Jorge Burruchaga,1,13 min 56 sec,90.3,48.0,30.76,14.33,8.0,Right Foot,direct,3,0.0331,0
253efcb403f4319da3453410572c3d2f,3889148,FIFA World Cup,1986-1986,Argentina,Jorge Burruchaga,1,39 min 59 sec,98.5,27.5,24.87,15.93,12.5,Right Foot,direct,3,0.0612,0
cf274a31bd7d5ce51cd7f67bdcd74904,3889149,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,1,26 min 55 sec,98.5,43.7,21.82,20.5,3.7,Left Foot,direct,14,0.0846,0
cb22b4f524c39cc74d60ddc50edaeca0,3889149,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,2,89 min 2 sec,97.7,33.2,23.31,18.68,6.8,Left Foot,direct,14,0.0784,0
f666578c9835cac49ed110b2b797fa7d,3889149,FIFA World Cup,1986-1986,Argentina,Diego Armando Maradona,2,84 min 9 sec,92.3,29.7,29.55,14.49,10.3,Left Foot,direct,14,0.0379,0
6436313ce3f33c2b57f0aec92c718246,3889149,FIFA World Cup,1986-1986,Germany,Klaus Allofs,1,12 min 11 sec,88.3,39.1,31.71,14.37,0.9,Left Foot,direct,1,0.0228,0
7f0b104d107d01bfea998071e12321ff,3889182,Serie A,1986-1987,Juventus,Michel Platini,1,41 min 53 sec,88.3,46.4,32.34,13.83,6.4,Right Foot,direct,1,0.0248,0
35d9027ee5cf619335996a8e908fcb9d,3889182,Serie A,1986-1987,Napoli,Diego Armando Maradona,1,16 min 38 sec,94.8,33.6,26.0,16.99,6.4,Left Foot,direct,14,0.0617,0
442172591926907f3246bd10f0a28195,3889182,Serie A,1986-1987,Napoli,Diego Armando Maradona,2,54 min 42 sec,92.4,43.9,27.87,16.18,3.9,Left Foot,direct,14,0.0581,0
38a68df77e155cfef8d8e99dd40a94fc,3750244,UEFA Europa League,1988-1989,Napoli,Diego Armando Maradona,1,21 min 27 sec,97.2,43.6,23.08,19.44,3.6,Left Foot,direct,14,0.0754,0
3770da59df93b0a1cf5b19b6a47fab0a,3750245,UEFA Europa League,1988-1989,Juventus W,Alessandro Altobelli,2,81 min 37 sec,94.0,42.9,26.16,17.29,2.9,Right Foot,direct,1,0.0668,0
9ebc3b39854c93f8b385f5bcb0787d4f,3887188,UEFA Europa League,1988-1989,VfB Stuttgart,Karl Allgöwer,2,71 min 48 sec,86.2,42.6,33.9,13.42,2.6,Right Foot,direct,1,0.0202,0
74fd5ea7de5ea4eb8f2a251082473681,3793185,FIFA World Cup,1990-1990,Argentina,Diego Armando Maradona,2,84 min 49 sec,95.9,44.8,24.57,18.16,4.8,Left Foot,direct,14,0.0717,0
9288169937b7af18e19579a6412e4ac1,3793185,FIFA World Cup,1990-1990,Brazil,Branco,2,78 min 17 sec,88.8,49.7,32.67,13.35,9.7,Left Foot,direct,2,0.0264,0
58b3081e8279aaf6a0ba0b0041644703,3793185,FIFA World Cup,1990-1990,Brazil,Branco,2,73 min 16 sec,102.3,11.5,33.55,7.27,28.5,Left Foot,direct,2,0.0067,0
133fcabce420c9cb6ec58f3334c259e8,3749052,Premier League,2003-2004,Wolverhampton Wanderers,Denis Irwin,1,20 min 20 sec,94.2,32.9,26.76,16.43,7.1,Right Foot,direct,2,0.0584,0
53d23a14f75b7d28aab3e7b4c4befe31,3749052,Premier League,2003-2004,Wolverhampton Wanderers,Lee Naylor,1,47 min 10 sec,89.2,45.3,31.25,14.38,5.3,Left Foot,direct,2,0.0386,0
59fb6347a3321190690b22be56a1a87f,3749052,Premier League,2003-2004,Wolverhampton Wanderers,Denis Irwin,2,50 min 24 sec,90.8,34.6,29.7,15.1,5.4,Right Foot,direct,2,0.0461,0
8b5d3d1e7d62675d6339637a6efac588,3749068,Premier League,2003-2004,Tottenham Hotspur,Johnnie Jackson,1,44 min 51 sec,91.0,46.7,29.76,14.93,6.7,Left Foot,direct,1,0.036,0
65ec0265b589cbcf0bc5eae67b3884c8,3749068,Premier League,2003-2004,Tottenham Hotspur,Jermain Defoe,2,90 min 16 sec,99.2,25.7,25.24,15.0,14.3,Right Foot,direct,1,0.0474,0
92ae4495da5ae15b12b44a9cf4017683,3749068,Premier League,2003-2004,Tottenham Hotspur,Jamie Redknapp,2,74 min 18 sec,93.6,26.7,29.56,13.83,13.3,Right Foot,direct,1,0.0388,0
8ee21668f4eb52cedb064468539ad4d7,3749079,Premier League,2003-2004,Arsenal,Edu Gaspar,1,4 min 16 sec,93.2,47.4,27.8,15.81,7.4,Left Foot,direct,8,0.0543,1
b8f87dfdf3f1e66fa63e038823950ff9,3749108,Premier League,2003-2004,Aston Villa,Juan Pablo Ángel,2,82 min 16 sec,94.4,32.5,26.68,16.41,7.5,Right Foot,direct,4,0.0505,0
c074d24de8312d12c7b15fb8eab2423f,3749108,Premier League,2003-2004,Aston Villa,Juan Pablo Ángel,2,61 min 56 sec,91.1,32.4,29.88,14.77,7.6,Right Foot,direct,4,0.0391,0
491d3858c0bc12cea6be234fcccef224,3749117,Premier League,2003-2004,Arsenal,Thierry Henry,2,52 min 27 sec,85.7,31.4,35.36,12.53,8.6,Right Foot,direct,36,0.0106,0
8f763c7271e4b1dae5f238b048a55441,3749117,Premier League,2003-2004,Everton,Wayne Rooney,2,55 min 8 sec,100.3,30.6,21.83,18.89,9.4,Right Foot,direct,8,0.0777,0
e0b8a99c3b7124e79700001f04e626d3,3749117,Premier League,2003-2004,Arsenal,Thierry Henry,1,40 min 52 sec,86.4,52.4,35.82,11.98,12.4,Right Foot,direct,36,0.007,0
347b357b3dd4e7de309f9483ea7b5ad9,3749117,Premier League,2003-2004,Everton,Wayne Rooney,2,53 min 48 sec,93.0,25.8,30.51,13.29,14.2,Right Foot,direct,8,0.031,0
1678d826a6c406084bd68f31cd9a3f41,3749117,Premier League,2003-2004,Everton,Alan Stubbs,2,92 min 9 sec,83.3,39.5,36.7,12.44,0.5,Right Foot,direct,2,0.0076,0
9f1af6cfd1d6828d4f614ffb27211ea9,3749133,Premier League,2003-2004,Aston Villa,Juan Pablo Ángel,2,50 min 4 sec,95.2,22.5,30.35,12.36,17.5,Right Foot,direct,4,0.0092,0
7f5b858235afc4d4afa357753c5256ed,3749133,Premier League,2003-2004,Arsenal,Ashley Cole,2,73 min 36 sec,76.7,19.3,47.99,8.61,20.7,Left Foot,direct,1,0.0053,0
2dd9985ad5e461e702ec252c9b04a73a,3749133,Premier League,2003-2004,Arsenal,Thierry Henry,1,28 min 1 sec,97.4,38.3,22.66,19.97,1.7,Right Foot,direct,36,0.0906,1
61fc2f518a24d434a2f9bda6b7c4c1e8,3749133,Premier League,2003-2004,Aston Villa,Juan Pablo Ángel,2,90 min 55 sec,95.5,52.0,27.28,15.06,12.0,Right Foot,direct,4,0.0439,0
37a00221bbe30840b3058bf6437809e7,3749153,Premier League,2003-2004,Arsenal,Thierry Henry,1,46 min 20 sec,100.3,26.1,24.11,15.58,13.9,Right Foot,direct,36,0.0604,0
c38ce63c7e9439936b4a198147594ab1,3749153,Premier League,2003-2004,Arsenal,Thierry Henry,1,42 min 10 sec,88.1,29.5,33.58,12.93,10.5,Right Foot,direct,36,0.0172,0
d393a15a52b4f2345b0a32c91dd9cf34,3749153,Premier League,2003-2004,Arsenal,Edu Gaspar,2,78 min 2 sec,83.3,60.0,41.8,9.63,20.0,Left Foot,direct,8,0.0062,0
641c4beeeaffb2190e6c9b0f149ae798,3749153,Premier League,2003-2004,Arsenal,Thierry Henry,2,88 min 50 sec,89.0,22.1,35.8,11.09,17.9,Right Foot,direct,36,0.0066,0
94509a24b2bb2acadbfcbbaaa0884846,3749153,Premier League,2003-2004,Arsenal,Thierry Henry,2,90 min 13 sec,86.3,43.7,33.9,13.38,3.7,Right Foot,direct,36,0.0234,0
fd18a8f89c32f230a94727d80c10f4f9,3749196,Premier League,2003-2004,Arsenal,Thierry Henry,1,14 min 18 sec,101.4,49.3,20.8,19.66,9.3,Left Foot,direct,36,0.0867,0
9201d2e65ec578d74685bbf1e9f671fa,3749196,Premier League,2003-2004,Arsenal,Thierry Henry,1,13 min 12 sec,94.4,56.7,30.57,12.57,16.7,Right Foot,direct,36,0.015,0
d3ac8ac0c55d15c10bbf785fc6641197,3749233,Premier League,2003-2004,Manchester City,Michael Tarnat,2,87 min 54 sec,107.9,62.1,25.2,8.89,22.1,Left Foot,direct,2,0.008,0
40d417e13391a1ba23b35f8517389d2a,3749246,Premier League,2003-2004,Arsenal,Thierry Henry,1,5 min 38 sec,103.1,12.0,32.7,7.31,28.0,Right Foot,direct,36,0.0066,0
